n,max_k,kicks,iters,trial,gap,time
100,3,100,1,3,0.7346,2.16
100,3,100,1,4,0.7346,2.19
100,3,100,1,2,0.7346,2.19
100,3,100,1,1,0.7346,2.2
100,3,100,1,5,0.7346,2.18
100,3,100,1,6,0.7346,2.17
100,3,100,1,7,0.7346,2.17
100,3,100,1,8,0.7346,2.17
100,3,100,1,9,0.7346,2.12
100,3,100,1,10,0.7346,2.14
100,3,100,2,2,0.7346,3.69
100,3,100,2,1,0.7346,3.71
100,3,100,2,3,0.7346,4.2
100,3,100,2,4,0.7346,3.69
100,3,100,2,6,0.7346,3.72
100,3,100,2,5,0.7346,3.73
100,3,100,2,7,0.7346,3.73
100,3,100,2,8,0.7346,3.74
100,3,100,2,10,0.7346,3.73
100,3,100,2,9,0.7346,3.73
100,3,100,5,1,0.7346,9.81
100,3,100,5,2,0.7346,9.84
100,3,100,5,3,0.7346,9.85
100,3,100,5,4,0.7346,9.88
100,3,100,5,5,0.7346,9.98
100,3,100,5,6,0.7346,9.89
100,3,100,5,7,0.7346,10.0
100,3,100,5,8,0.7346,10.43
100,3,100,5,9,0.7346,10.95
100,3,100,5,10,0.7346,10.52
100,3,100,10,1,0.7346,20.81
100,3,100,10,2,0.7346,20.76
100,3,100,10,4,0.7346,22.31
100,3,100,10,3,0.7346,22.79
100,3,100,10,5,0.7346,20.42
100,3,100,10,6,0.7346,20.24
100,3,100,10,7,0.7346,20.2
100,3,100,10,8,0.7346,20.36
100,3,200,1,1,0.7346,2.19
100,3,200,1,2,0.7346,2.17
100,3,200,1,3,0.7346,2.18
100,3,200,1,4,0.7346,2.13
100,3,100,10,9,0.7346,19.75
100,3,100,10,10,0.7346,20.17
100,3,200,1,5,0.7346,2.15
100,3,200,1,6,0.7346,1.71
100,3,200,1,7,0.7346,1.64
100,3,200,1,8,0.7346,2.14
100,3,200,1,9,0.7346,2.14
100,3,200,1,10,0.7346,2.15
100,3,200,2,1,0.7346,3.78
100,3,200,2,2,0.7346,4.27
100,3,200,2,3,0.7346,4.71
100,3,200,2,4,0.7346,4.23
100,3,200,2,5,0.7346,3.71
100,3,200,2,6,0.7346,4.21
100,3,200,2,7,0.7346,4.23
100,3,200,2,8,0.7346,4.23
100,3,200,2,9,0.7346,3.22
100,3,200,2,10,0.7346,4.21
100,3,200,5,1,0.7346,10.49
100,3,200,5,2,0.7346,10.46
100,3,200,5,3,0.7346,9.89
100,3,200,5,4,0.7346,10.97
100,3,200,5,5,0.7346,10.51
100,3,200,5,6,0.7346,10.41
