max_k,kicks_per_iter,iters,gap,time
3,200,1,8.0903,2.78
3,200,2,5.9929,5.46
3,200,5,4.5158,13.39
3,200,10,3.66,26.51
3,200,20,2.8689,52.8
3,500,1,6.7307,2.78
3,500,2,4.7923,5.95
3,500,5,3.1061,15.47
3,500,10,2.6918,31.12
3,500,20,2.4577,62.89
3,1000,1,5.5283,3.79
3,1000,2,3.8168,6.98
3,1000,5,2.8215,18.46
3,1000,10,2.5013,39.5
3,1000,20,2.2091,74.44
3,2000,1,4.7067,4.79
3,2000,2,3.5211,10.5
3,2000,5,2.5634,25.91
3,2000,10,2.2123,52.71
3,2000,20,2.1148,105.0
3,5000,1,3.6729,7.79
3,5000,2,2.57,18.47
3,5000,5,2.2011,48.45
3,5000,10,1.9923,96.77
3,5000,20,2.0222,194.61
4,200,1,8.3196,2.78
4,200,2,6.0243,5.46
4,200,5,4.3903,13.38
4,200,10,3.6263,26.53
4,200,20,2.872,52.71
4,500,1,6.6848,3.28
4,500,2,4.5138,6.47
4,500,5,3.4421,15.91
4,500,10,2.9477,31.67
4,500,20,2.6972,62.35
4,1000,1,5.3316,3.8
4,1000,2,3.9325,7.47
4,1000,5,2.8746,19.48
4,1000,10,2.5826,39.18
4,1000,20,2.3731,75.48
4,2000,1,4.5028,4.77
4,2000,2,3.142,10.46
4,2000,5,2.3539,26.41
4,2000,10,2.0931,52.69
4,2000,20,2.1974,105.92
4,5000,1,3.3029,7.79
4,5000,2,2.5513,17.98
4,5000,5,2.2993,48.98
4,5000,10,2.0636,97.21
4,5000,20,1.9053,195.55
5,200,1,8.2636,2.79
5,200,2,6.0194,5.48
5,200,5,4.2224,13.41
5,200,10,3.576,26.61
5,200,20,3.0441,52.88
5,500,1,6.642,2.8
5,500,2,4.7695,6.0
5,500,5,3.4081,15.93
5,500,10,2.9779,31.7
5,500,20,2.5818,62.52
5,1000,1,5.4499,3.82
5,1000,2,3.5997,7.46
5,1000,5,3.0912,18.93
5,1000,10,2.4631,38.67
5,1000,20,2.1833,76.86
5,2000,1,4.6836,4.79
5,2000,2,3.1265,9.96
5,2000,5,2.4631,27.39
5,2000,10,2.4007,52.69
5,2000,20,2.049,109.38
5,5000,1,3.5619,7.79
5,5000,2,2.6119,18.5
5,5000,5,2.2208,48.47
5,5000,10,2.2248,100.23
5,5000,20,1.9155,200.93
