n,max_k,kicks_per_iter,iters,gap,time
100,3,200,1,0.7346,2.2
100,3,200,5,0.7346,10.82
100,3,200,10,0.7346,21.43
100,3,500,1,0.7346,2.23
100,3,500,5,0.7346,12.89
100,3,500,10,0.7346,21.53
100,3,1000,1,0.7346,2.22
100,3,1000,5,0.7346,10.81
100,3,1000,10,0.7346,21.48
100,4,200,1,0.7346,2.22
100,4,200,5,0.7346,10.83
100,4,200,10,0.7346,21.51
100,4,500,1,0.7346,2.21
100,4,500,5,0.7346,10.82
100,4,500,10,0.7346,21.41
100,4,1000,1,0.7346,2.27
100,4,1000,5,0.7346,10.92
100,4,1000,10,0.7346,21.51
200,3,200,1,1.4305,2.85
200,3,200,5,1.1099,10.91
200,3,200,10,1.1099,21.43
200,3,500,1,1.1101,2.23
200,3,500,5,1.1099,10.86
200,3,500,10,1.1099,21.57
200,3,1000,1,1.1099,2.23
200,3,1000,5,1.1099,10.82
200,3,1000,10,1.1099,21.47
200,4,200,1,1.2152,2.25
200,4,200,5,1.1099,10.8
200,4,200,10,1.1099,21.52
200,4,500,1,1.2149,2.24
200,4,500,5,1.1099,10.85
200,4,500,10,1.1099,21.54
200,4,1000,1,1.1099,2.26
200,4,1000,5,1.1099,10.78
200,4,1000,10,1.1099,21.57
500,3,200,1,2.2823,2.23
500,3,200,5,0.9048,10.82
500,3,200,10,0.763,21.58
500,3,500,1,1.9006,2.24
500,3,500,5,0.8067,11.38
500,3,500,10,0.7236,21.53
500,3,1000,1,1.0982,2.73
500,3,1000,5,0.7444,12.75
500,3,1000,10,0.8067,24.96
500,4,200,1,3.2502,2.26
500,4,200,5,1.0213,11.39
500,4,200,10,0.9702,21.6
500,4,500,1,1.5573,2.23
500,4,500,5,0.7092,11.35
500,4,500,10,1.0241,23.6
500,4,1000,1,1.1004,2.72
500,4,1000,5,0.8067,11.38
500,4,1000,10,0.7444,24.94
1000,3,200,1,3.9587,2.26
1000,3,200,5,1.7001,11.32
1000,3,200,10,1.107,21.6
1000,3,500,1,2.8273,2.73
1000,3,500,5,1.0603,12.28
1000,3,500,10,1.1119,27.6
1000,3,1000,1,2.1992,2.74
1000,3,1000,5,0.8539,13.37
1000,3,1000,10,0.899,26.49
1000,4,200,1,4.5428,2.22
1000,4,200,5,1.508,11.87
1000,4,200,10,1.1619,22.15
1000,4,500,1,2.939,2.74
1000,4,500,5,1.1879,12.34
1000,4,500,10,0.9036,25.0
1000,4,1000,1,2.3555,2.75
1000,4,1000,5,0.9441,13.36
1000,4,1000,10,0.8857,26.43
2000,3,200,1,6.1981,7.14
2000,3,200,5,2.245,12.4
2000,3,200,10,1.8736,23.6
2000,3,500,1,3.7624,2.76
2000,3,500,5,1.8485,13.33
